States/UTs,Rice,Wheat,Atta,Gram Dal,Tur Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati,Soya Oil,Sunflower Oil,Palm Oil,Gur,Tea Loose,Salt,Potato,Onion,Tomato,Date,price_type
Average Price,33.2725,26.6547,29.8771,63.7721,100.9795,97.1311,90.8234,86.5633,38.628099999999996,49.4268,178.4503,162.2226,135.2483,142.93030000000002,163.2235,118.15629999999999,42.771899999999995,249.15490000000003,17.473599999999998,21.0654,18.9478,30.4406,2022-09-11,wholesale
Maximum Price,54.0,38.0,54.0,80.0,121.0,124.0,119.5,112.0,44.0,70.0,236.0,210.0,181.32,189.0,203.3,156.0,90.0,500.0,26.5,37.0,35.0,60.0,2022-09-11,wholesale
Minimum Price,19.0,11.0,21.0,53.0,70.0,72.0,72.0,64.5,32.0,30.0,150.0,140.0,98.0,110.0,130.0,85.7,31.0,125.0,6.4,8.0,9.1,8.0,2022-09-11,wholesale
Modal Price,32.0,32.0,30.0,62.0,100.0,90.0,92.0,90.0,38.0,50.0,180.0,170.0,122.5,140.0,180.0,120.0,42.0,280.0,20.0,18.0,18.0,35.0,2022-09-11,wholesale
Average Price,33.5142,27.345399999999998,30.8679,65.309,101.87989999999999,97.8841,92.2694,87.7701,39.0236,50.0035,179.08950000000002,163.401,140.1744,144.2865,164.2035,117.78299999999999,44.4463,246.65240000000003,16.8451,22.2822,20.1958,31.6344,2022-09-12,wholesale
Maximum Price,54.0,40.0,62.0,105.0,122.0,130.0,119.5,115.0,46.0,70.0,240.0,217.58,200.0,194.14,227.11,176.0,90.0,519.34,26.5,45.0,45.0,60.0,2022-09-12,wholesale
Minimum Price,18.0,10.0,15.5,53.0,70.0,70.0,72.0,64.5,32.0,30.0,150.0,132.51,98.0,110.0,130.0,85.0,31.0,120.0,6.4,8.0,9.1,8.0,2022-09-12,wholesale
Modal Price,30.0,34.0,30.0,62.0,110.0,90.0,90.0,90.0,39.0,50.0,180.0,160.0,150.0,140.0,180.0,120.0,42.0,280.0,10.0,20.0,18.0,37.5,2022-09-12,wholesale
Average Price,33.4642,27.5119,30.7197,65.5089,101.8884,98.24,92.3089,87.7236,39.0101,50.4873,179.0014,162.7001,139.2545,143.5454,163.7057,116.4422,44.6213,245.17610000000002,16.9061,22.265300000000003,20.2031,32.0383,2022-09-13,wholesale
Maximum Price,55.0,40.0,62.0,105.0,122.0,130.0,119.5,115.0,46.0,70.0,240.0,213.0,200.0,189.0,220.0,176.0,90.0,500.0,26.5,45.0,45.0,60.0,2022-09-13,wholesale
